"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","529","Create User","LMS service","Mon Feb 02 09:54:54 UTC 2026","passed","Mon Feb 02 09:54:55 UTC 2026","Create entity","Users","",""
"","12","Get user me","LMS service","Mon Feb 02 09:54:56 UTC 2026","passed","Mon Feb 02 09:54:56 UTC 2026","Get entity","Users","",""
"","25","Create exercise","LMS service","Mon Feb 02 09:54:49 UTC 2026","passed","Mon Feb 02 09:54:49 UTC 2026","Create entity","Exercises","",""
"","17","Get exercise","LMS service","Mon Feb 02 09:54:50 UTC 2026","passed","Mon Feb 02 09:54:50 UTC 2026","Get entity","Exercises","",""
"","551","Login with correct email and password","LMS service","Mon Feb 02 09:54:46 UTC 2026","passed","Mon Feb 02 09:54:46 UTC 2026","Login","Authentication","",""
"","76","Create file with empty filename","LMS service","Mon Feb 02 09:54:52 UTC 2026","passed","Mon Feb 02 09:54:52 UTC 2026","Validate entity","Files","",""
"","81","Create file","LMS service","Mon Feb 02 09:54:51 UTC 2026","passed","Mon Feb 02 09:54:51 UTC 2026","Create entity","Files","",""
"","267","Get file with incorrect file id","LMS service","Mon Feb 02 09:54:55 UTC 2026","passed","Mon Feb 02 09:54:55 UTC 2026","Validate entity","Files","",""
"","14","Get file","LMS service","Mon Feb 02 09:54:52 UTC 2026","passed","Mon Feb 02 09:54:52 UTC 2026","Get entity","Files","",""
"","22","Delete exercise","LMS service","Mon Feb 02 09:54:50 UTC 2026","passed","Mon Feb 02 09:54:50 UTC 2026","Delete entity","Exercises","",""
"","26","Update exercise","LMS service","Mon Feb 02 09:54:49 UTC 2026","passed","Mon Feb 02 09:54:49 UTC 2026","Update entity","Exercises","",""
"","32","Get course","LMS service","Mon Feb 02 09:54:47 UTC 2026","passed","Mon Feb 02 09:54:47 UTC 2026","Get entities","Courses","",""
"","292","Get exercises","LMS service","Mon Feb 02 09:54:51 UTC 2026","passed","Mon Feb 02 09:54:51 UTC 2026","Get entities","Exercises","",""
"","473","Create User","LMS service","Mon Feb 02 09:54:54 UTC 2026","passed","Mon Feb 02 09:54:54 UTC 2026","Create entity","Users","",""
"","275","Create file with empty directory","LMS service","Mon Feb 02 09:54:53 UTC 2026","passed","Mon Feb 02 09:54:54 UTC 2026","Validate entity","Files","",""
"","28","Update course","LMS service","Mon Feb 02 09:54:47 UTC 2026","passed","Mon Feb 02 09:54:47 UTC 2026","Update entity","Courses","",""
"","36","Create course","LMS service","Mon Feb 02 09:54:48 UTC 2026","passed","Mon Feb 02 09:54:48 UTC 2026","Create entity","Courses","",""
"","26","Create file with empty delete","LMS service","Mon Feb 02 09:54:54 UTC 2026","passed","Mon Feb 02 09:54:54 UTC 2026","Delete entity","Files","",""
"","551","Create User","LMS service","Mon Feb 02 09:54:55 UTC 2026","passed","Mon Feb 02 09:54:55 UTC 2026","Create entity","Users","",""
